date,time,stress,smoked
2014-08-19,16:49:58,0.431773,-1
2014-08-19,16:49:59,0.424925,-1
2014-08-19,16:50:01,0.382211,-1
2014-08-19,16:50:02,0.373936,-1
2014-08-19,16:50:03,0.419513,-1
2014-08-19,16:50:04,0.411166,-1
2014-08-19,16:50:05,0.363231,-1
2014-08-19,16:50:06,0.363231,-1
2014-08-19,16:50:07,0.357168,-1
2014-08-19,16:50:08,0.378457,-1
2014-08-19,16:50:09,0.280181,-1
2014-08-19,16:50:10,0.271889,-1
2014-08-19,16:50:11,0.221676,-1
2014-08-19,16:50:12,0.235583,-1
2014-08-19,16:50:13,0.265389,-1
2014-08-19,16:50:14,0.291357,-1
2014-08-19,16:50:15,0.306673,-1
2014-08-19,16:50:16,0.338071,-1
2014-08-19,16:50:17,0.329163,-1
2014-08-19,16:50:18,0.340333,-1
2014-08-19,16:50:19,0.352572,-1
2014-08-19,16:50:20,0.368748,-1
2014-08-19,16:50:21,0.385556,-1
2014-08-19,16:50:22,0.348467,-1
2014-08-19,16:50:23,0.333087,-1
2014-08-19,16:50:24,0.321409,-1
2014-08-19,16:50:25,0.266393,-1
2014-08-19,16:50:26,0.249128,-1
2014-08-19,16:50:27,0.22892,-1
2014-08-19,16:50:28,0.220744,-1
2014-08-19,16:50:29,0.16884,-1
2014-08-19,16:50:30,0.157463,-1
2014-08-19,16:50:31,0.149229,-1
2014-08-19,16:50:32,0.149229,-1
2014-08-19,16:50:33,0.129468,-1
2014-08-19,16:50:34,0.131112,-1
2014-08-19,16:50:35,0.130312,-1
2014-08-19,16:50:36,0.109646,-1
2014-08-19,16:50:37,0.11569,-1
2014-08-19,16:50:38,0.105885,-1
2014-08-19,16:50:39,0.10614,-1
2014-08-19,16:50:51,0.101735,-1
2014-08-19,16:51:32,0.112156,-1
2014-08-19,16:51:33,0.117802,-1
2014-08-19,16:51:34,0.117365,-1
2014-08-19,16:51:35,0.117365,-1
2014-08-19,16:51:40,0.103456,-1
2014-08-19,16:51:41,0.104992,-1
2014-08-19,16:52:27,0.10311,-1
2014-08-19,16:52:32,0.122262,-1
2014-08-19,16:52:33,0.131434,-1
2014-08-19,16:52:34,0.125376,-1
2014-08-19,16:52:35,0.120486,-1
2014-08-19,16:52:36,0.136785,-1
2014-08-19,16:52:37,0.147682,-1
